permno,sorting_date,portfolio_size,portfolio_bm,portfolio_op,portfolio_inv,exchange,size
16964,2024-07-01,1,2,1,2,NYSE,173.38824
16965,2024-07-01,1,2,2,2,NYSE,1618.78997
16967,2024-07-01,1,1,2,2,NASDAQ,2279.531
16971,2024-07-01,1,2,2,1,NASDAQ,1029.24052
16974,2024-07-01,1,3,1,2,NASDAQ,17.44116
16975,2024-07-01,1,3,1,3,NASDAQ,48.49495
16976,2024-07-01,1,3,2,2,NASDAQ,541.512
16982,2024-07-01,1,2,2,2,NASDAQ,251.23679999999996
16989,2024-07-01,1,2,1,2,NASDAQ,696.48092
16991,2024-07-01,1,2,3,3,NASDAQ,1855.02932
16995,2024-07-01,1,3,2,3,NASDAQ,217.64168
16999,2024-07-01,1,1,1,1,NASDAQ,144.4307
17000,2024-07-01,1,1,1,1,NASDAQ,2508.60176
17032,2024-07-01,1,2,3,3,NYSE,1045.8183
17036,2024-07-01,1,3,1,1,NYSE,1138.68408
17038,2024-07-01,1,2,1,1,NASDAQ,412.86690000000004
17039,2024-07-01,1,2,3,2,NYSE,2998.45764
17041,2024-07-01,1,3,1,3,NASDAQ,1.9487999999999999
17043,2024-07-01,1,2,1,1,NASDAQ,512.28288
17044,2024-07-01,1,3,3,3,NASDAQ,70.2117
17045,2024-07-01,1,2,2,3,NASDAQ,1323.69012
17091,2024-07-01,1,3,1,1,AMEX,2.28271
17093,2024-07-01,1,3,2,3,NYSE,471.11337000000003
17106,2024-07-01,1,2,1,3,NASDAQ,426.59136
17107,2024-07-01,1,3,1,1,NASDAQ,5.994870800000001
17108,2024-07-01,1,3,2,2,NYSE,1230.05904
17116,2024-07-01,1,1,1,1,NASDAQ,99.35651
17117,2024-07-01,1,3,3,3,NASDAQ,117.72932
17121,2024-07-01,1,3,2,2,NASDAQ,273.90556
17122,2024-07-01,1,1,1,1,NASDAQ,157.209
17125,2024-07-01,1,1,1,1,NASDAQ,3323.33928
17126,2024-07-01,1,2,2,3,NASDAQ,1538.43855
17133,2024-07-01,1,1,2,2,NASDAQ,1928.30352
17137,2024-07-01,1,3,1,1,NASDAQ,124.49381000000001
17140,2024-07-01,1,2,1,1,NASDAQ,19.024632
17151,2024-07-01,1,3,3,3,NASDAQ,240.97792
17155,2024-07-01,1,1,1,2,NASDAQ,507.23758000000004
17221,2024-07-01,1,2,3,3,NYSE,3481.36028
17252,2024-07-01,1,1,3,2,NYSE,460.5865
17262,2024-07-01,1,1,1,1,NASDAQ,60.31732
17263,2024-07-01,1,1,1,1,NASDAQ,33.161473799999996
17266,2024-07-01,1,3,1,3,NASDAQ,28.63592
17270,2024-07-01,1,1,1,3,NASDAQ,133.63635
17271,2024-07-01,1,3,1,1,NASDAQ,218.58417
17272,2024-07-01,1,3,1,1,NASDAQ,99.70521
17281,2024-07-01,1,1,3,3,NYSE,3465.33444
17309,2024-07-01,1,3,1,2,NYSE,514.86939
17313,2024-07-01,1,2,1,3,NASDAQ,276.92358
17315,2024-07-01,1,1,1,1,NASDAQ,405.59042000000005
17327,2024-07-01,1,2,1,1,NASDAQ,50.60277
17332,2024-07-01,1,2,3,2,NASDAQ,3093.33357
17343,2024-07-01,1,1,2,3,NASDAQ,348.7674
17344,2024-07-01,1,3,1,1,NYSE,34.2432
17345,2024-07-01,1,3,1,1,NASDAQ,10.780949999999999
17350,2024-07-01,1,2,2,3,NASDAQ,317.51028
17351,2024-07-01,1,3,1,1,NASDAQ,23.70542
17357,2024-07-01,1,2,3,1,NASDAQ,874.7540100000001
17358,2024-07-01,1,3,1,1,NASDAQ,215.31025
17359,2024-07-01,1,3,2,3,NASDAQ,133.623
17360,2024-07-01,1,2,1,1,NASDAQ,4.81806
17361,2024-07-01,1,3,1,2,NASDAQ,18.86112
17365,2024-07-01,1,3,1,3,NASDAQ,35.98164
17366,2024-07-01,1,1,1,1,NASDAQ,57.6528
17367,2024-07-01,1,1,2,2,NASDAQ,665.42058
17368,2024-07-01,1,3,2,2,NASDAQ,142.08544
17369,2024-07-01,1,3,1,1,NASDAQ,5.563012
17372,2024-07-01,1,1,1,2,NASDAQ,921.76149
17373,2024-07-01,1,1,2,3,NASDAQ,85.45128
17374,2024-07-01,1,1,1,1,NYSE,1385.21419
17382,2024-07-01,1,1,1,3,NYSE,1387.70757
17672,2024-07-01,1,1,1,1,NYSE,249.45199
17679,2024-07-01,1,2,2,3,NASDAQ,554.92352
17683,2024-07-01,1,2,2,2,NASDAQ,1568.18235
17684,2024-07-01,1,3,3,1,NASDAQ,1333.77
17688,2024-07-01,1,1,3,3,NASDAQ,1390.3352
17690,2024-07-01,1,2,1,1,NASDAQ,3.13404
17691,2024-07-01,1,1,1,1,NASDAQ,525.72207
17800,2024-07-01,1,3,2,2,NASDAQ,227.35020000000003
17801,2024-07-01,1,1,2,3,NASDAQ,2416.15523
17803,2024-07-01,1,3,2,2,NASDAQ,37.49975
17812,2024-07-01,1,1,1,2,NASDAQ,1734.876905
17813,2024-07-01,1,2,1,3,NASDAQ,69.9825
17818,2024-07-01,1,3,2,2,NYSE,983.7958
